Iteration,Naive Bayes,Hoeffding Tree,IELM,SGD Perceptron
490,0.5755,0.9898,0.9878,0.9551
491,0.5764,0.9898,0.9878,0.9552
492,0.5752,0.9898,0.9878,0.9553
493,0.5740,0.9899,0.9878,0.9554
494,0.5729,0.9899,0.9879,0.9555
495,0.5717,0.9899,0.9879,0.9556
496,0.5726,0.9899,0.9879,0.9556
497,0.5734,0.9899,0.9879,0.9557
498,0.5743,0.9900,0.9880,0.9558
499,0.5731,0.9900,0.9880,0.9559
500,0.5720,0.9900,0.9880,0.9560
501,0.5720,0.9920,0.9880,0.9560
502,0.5720,0.9940,0.9900,0.9580
503,0.5720,0.9940,0.9900,0.9580
504,0.5720,0.9940,0.9920,0.9600
505,0.5740,0.9960,0.9920,0.9600
506,0.5740,0.9980,0.9920,0.9600
507,0.5740,0.9980,0.9940,0.9620
508,0.5720,0.9980,0.9940,0.9620
509,0.5720,0.9980,0.9940,0.9620
510,0.5720,0.9980,0.9940,0.9620
511,0.5740,1.0000,0.9940,0.9620
512,0.5740,1.0000,0.9940,0.9620
513,0.5720,1.0000,0.9940,0.9620
514,0.5720,1.0000,0.9940,0.9640
515,0.5720,1.0000,0.9940,0.9640
516,0.5720,1.0000,0.9940,0.9640
517,0.5720,1.0000,0.9940,0.9640
518,0.5720,1.0000,0.9940,0.9640
519,0.5720,1.0000,0.9940,0.9640
520,0.5720,1.0000,0.9940,0.9640
521,0.5720,1.0000,0.9940,0.9640
522,0.5740,1.0000,0.9940,0.9640
523,0.5720,1.0000,0.9940,0.9640
524,0.5700,1.0000,0.9940,0.9640
525,0.5680,1.0000,0.9940,0.9640
526,0.5660,1.0000,0.9940,0.9640
527,0.5640,1.0000,0.9940,0.9640
528,0.5640,1.0000,0.9940,0.9640
529,0.5640,1.0000,0.9940,0.9640
530,0.5640,1.0000,0.9940,0.9640
531,0.5660,1.0000,0.9940,0.9640
532,0.5660,1.0000,0.9940,0.9640
533,0.5640,1.0000,0.9940,0.9640
534,0.5660,1.0000,0.9940,0.9640
535,0.5660,1.0000,0.9940,0.9640
536,0.5680,1.0000,0.9940,0.9640
537,0.5680,1.0000,0.9940,0.9640
538,0.5660,1.0000,0.9940,0.9640
539,0.5660,1.0000,0.9940,0.9640
540,0.5660,1.0000,0.9940,0.9660
541,0.5680,1.0000,0.9940,0.9660
542,0.5700,1.0000,0.9940,0.9680
543,0.5720,1.0000,0.9940,0.9680
544,0.5720,1.0000,0.9940,0.9680
545,0.5700,1.0000,0.9940,0.9680
546,0.5680,1.0000,0.9940,0.9680
547,0.5660,1.0000,0.9940,0.9680
548,0.5660,1.0000,0.9940,0.9680
549,0.5640,1.0000,0.9940,0.9680
550,0.5640,1.0000,0.9940,0.9680
551,0.5640,1.0000,0.9940,0.9680
552,0.5620,1.0000,0.9940,0.9700
553,0.5620,1.0000,0.9940,0.9700
554,0.5600,1.0000,0.9940,0.9700
555,0.5600,1.0000,0.9940,0.9700
556,0.5600,1.0000,0.9940,0.9700
557,0.5600,1.0000,0.9940,0.9700
558,0.5620,1.0000,0.9940,0.9700
559,0.5600,1.0000,0.9940,0.9700
560,0.5600,1.0000,0.9940,0.9700
561,0.5620,1.0000,0.9940,0.9700
562,0.5600,1.0000,0.9940,0.9700
563,0.5600,1.0000,0.9940,0.9720
564,0.5600,1.0000,0.9940,0.9720
565,0.5620,1.0000,0.9940,0.9720
566,0.5620,1.0000,0.9940,0.9720
567,0.5620,1.0000,0.9940,0.9720
568,0.5640,1.0000,0.9940,0.9720
569,0.5640,1.0000,0.9940,0.9720
570,0.5660,1.0000,0.9940,0.9720
571,0.5640,1.0000,0.9940,0.9740
572,0.5660,1.0000,0.9940,0.9740
573,0.5640,1.0000,0.9940,0.9740
574,0.5660,1.0000,0.9940,0.9740
575,0.5660,1.0000,0.9940,0.9740
576,0.5680,1.0000,0.9940,0.9760
577,0.5660,1.0000,0.9940,0.9760
578,0.5680,1.0000,0.9940,0.9760
579,0.5680,1.0000,0.9940,0.9760
580,0.5680,1.0000,0.9940,0.9760
581,0.5680,1.0000,0.9940,0.9760
582,0.5680,1.0000,0.9940,0.9760
583,0.5680,1.0000,0.9940,0.9760
584,0.5660,1.0000,0.9940,0.9780
585,0.5660,1.0000,0.9940,0.9780
586,0.5660,1.0000,0.9940,0.9780
587,0.5660,1.0000,0.9940,0.9780
588,0.5660,1.0000,0.9940,0.9780
589,0.5640,1.0000,0.9940,0.9780
590,0.5620,1.0000,0.9940,0.9780
591,0.5640,1.0000,0.9940,0.9780
592,0.5660,1.0000,0.9940,0.9780
593,0.5660,1.0000,0.9940,0.9780
594,0.5680,1.0000,0.9940,0.9780
595,0.5680,1.0000,0.9940,0.9780
596,0.5660,1.0000,0.9940,0.9780
597,0.5640,1.0000,0.9960,0.9780
598,0.5640,1.0000,0.9960,0.9780
599,0.5640,1.0000,0.9960,0.9780
600,0.5620,1.0000,0.9960,0.9780
601,0.5640,1.0000,0.9960,0.9780
602,0.5620,1.0000,0.9960,0.9780
603,0.5620,1.0000,0.9960,0.9780
604,0.5600,1.0000,0.9960,0.9780
605,0.5600,1.0000,0.9960,0.9780
606,0.5620,1.0000,0.9960,0.9780
607,0.5600,1.0000,0.9960,0.9780
608,0.5600,1.0000,0.9960,0.9780
609,0.5600,1.0000,0.9960,0.9780
610,0.5620,1.0000,0.9960,0.9780
611,0.5600,1.0000,0.9960,0.9780
612,0.5580,1.0000,0.9960,0.9780
613,0.5560,1.0000,0.9960,0.9780
614,0.5560,1.0000,0.9960,0.9780
615,0.5540,1.0000,0.9960,0.9780
616,0.5560,1.0000,0.9960,0.9780
617,0.5580,1.0000,0.9960,0.9780
618,0.5600,1.0000,0.9960,0.9780
619,0.5600,1.0000,0.9960,0.9780
620,0.5580,1.0000,0.9960,0.9780
621,0.5560,1.0000,0.9960,0.9780
622,0.5540,1.0000,0.9960,0.9780
623,0.5540,1.0000,0.9960,0.9780
624,0.5560,1.0000,0.9960,0.9780
625,0.5560,1.0000,0.9960,0.9780
626,0.5540,1.0000,0.9960,0.9780
627,0.5560,1.0000,0.9960,0.9780
628,0.5580,1.0000,0.9960,0.9780
629,0.5600,1.0000,0.9960,0.9780
630,0.5600,1.0000,0.9960,0.9800
631,0.5580,1.0000,0.9960,0.9800
