Iteration,Naive Bayes,Hoeffding Tree,IELM,SGD Perceptron
506,0.9720,0.9820,0.9700,0.9480
507,0.9720,0.9820,0.9700,0.9480
508,0.9720,0.9820,0.9700,0.9480
509,0.9720,0.9820,0.9700,0.9480
510,0.9720,0.9820,0.9700,0.9480
511,0.9720,0.9820,0.9700,0.9480
512,0.9720,0.9820,0.9700,0.9480
513,0.9720,0.9820,0.9700,0.9480
514,0.9700,0.9820,0.9680,0.9480
515,0.9720,0.9840,0.9700,0.9500
516,0.9720,0.9840,0.9700,0.9500
517,0.9720,0.9840,0.9700,0.9520
518,0.9720,0.9840,0.9700,0.9520
519,0.9700,0.9840,0.9680,0.9540
520,0.9700,0.9840,0.9680,0.9540
521,0.9700,0.9840,0.9680,0.9540
522,0.9700,0.9840,0.9680,0.9540
523,0.9700,0.9840,0.9680,0.9540
524,0.9700,0.9840,0.9680,0.9540
525,0.9700,0.9840,0.9680,0.9540
526,0.9700,0.9840,0.9680,0.9540
527,0.9700,0.9840,0.9680,0.9540
528,0.9700,0.9840,0.9680,0.9540
529,0.9700,0.9840,0.9680,0.9540
530,0.9700,0.9840,0.9680,0.9540
531,0.9680,0.9840,0.9660,0.9540
532,0.9680,0.9840,0.9660,0.9540
533,0.9680,0.9840,0.9660,0.9540
534,0.9680,0.9840,0.9660,0.9540
535,0.9680,0.9840,0.9660,0.9540
536,0.9660,0.9840,0.9640,0.9540
537,0.9660,0.9840,0.9640,0.9540
538,0.9660,0.9840,0.9640,0.9540
539,0.9660,0.9840,0.9640,0.9540
540,0.9660,0.9840,0.9640,0.9540
541,0.9660,0.9840,0.9640,0.9540
542,0.9660,0.9840,0.9640,0.9540
543,0.9680,0.9860,0.9660,0.9560
544,0.9680,0.9860,0.9660,0.9580
545,0.9680,0.9860,0.9660,0.9580
546,0.9680,0.9860,0.9660,0.9580
547,0.9680,0.9860,0.9640,0.9580
548,0.9700,0.9880,0.9660,0.9580
549,0.9700,0.9880,0.9660,0.9580
550,0.9700,0.9880,0.9660,0.9580
551,0.9700,0.9880,0.9660,0.9580
552,0.9700,0.9880,0.9660,0.9580
553,0.9700,0.9880,0.9660,0.9580
554,0.9700,0.9880,0.9660,0.9580
555,0.9700,0.9880,0.9660,0.9580
556,0.9700,0.9880,0.9660,0.9580
557,0.9700,0.9880,0.9660,0.9580
558,0.9700,0.9880,0.9660,0.9580
559,0.9700,0.9900,0.9660,0.9580
560,0.9680,0.9900,0.9640,0.9600
561,0.9680,0.9900,0.9640,0.9600
562,0.9680,0.9900,0.9640,0.9600
563,0.9680,0.9900,0.9640,0.9600
564,0.9680,0.9900,0.9640,0.9600
565,0.9680,0.9900,0.9640,0.9600
566,0.9680,0.9900,0.9640,0.9600
567,0.9680,0.9900,0.9640,0.9600
568,0.9680,0.9900,0.9640,0.9600
569,0.9680,0.9900,0.9640,0.9600
570,0.9680,0.9900,0.9640,0.9600
571,0.9680,0.9900,0.9640,0.9600
572,0.9680,0.9900,0.9640,0.9600
573,0.9680,0.9900,0.9640,0.9600
574,0.9700,0.9920,0.9660,0.9620
575,0.9700,0.9920,0.9660,0.9620
576,0.9700,0.9920,0.9660,0.9620
577,0.9700,0.9920,0.9660,0.9620
578,0.9700,0.9920,0.9660,0.9620
579,0.9700,0.9920,0.9660,0.9620
580,0.9700,0.9920,0.9660,0.9620
