Iteration,Gaussian NB,Hoeffding Tree,IELM,SGD Perceptron,Adaptive RF
380,0.8263,0.8316,0.8632,0.9211,0.8684
381,0.8268,0.8320,0.8635,0.9186,0.8688
382,0.8246,0.8298,0.8613,0.9162,0.8665
383,0.8225,0.8277,0.8590,0.9164,0.8668
384,0.8203,0.8255,0.8568,0.9167,0.8646
385,0.8182,0.8260,0.8545,0.9169,0.8623
386,0.8161,0.8264,0.8523,0.9171,0.8627
387,0.8140,0.8269,0.8527,0.9173,0.8630
388,0.8119,0.8273,0.8531,0.9175,0.8634
389,0.8098,0.8278,0.8535,0.9177,0.8638
390,0.8103,0.8282,0.8538,0.9179,0.8641
391,0.8107,0.8286,0.8542,0.9182,0.8645
392,0.8112,0.8291,0.8546,0.9184,0.8648
393,0.8117,0.8295,0.8550,0.9186,0.8651
394,0.8122,0.8299,0.8553,0.9188,0.8655
395,0.8127,0.8304,0.8557,0.9190,0.8658
396,0.8131,0.8308,0.8561,0.9192,0.8662
397,0.8111,0.8312,0.8539,0.9194,0.8665
398,0.8116,0.8317,0.8543,0.9196,0.8643
399,0.8120,0.8321,0.8546,0.9198,0.8647
400,0.8125,0.8325,0.8550,0.9200,0.8650
401,0.8130,0.8329,0.8554,0.9202,0.8653
402,0.8134,0.8333,0.8557,0.9204,0.8657
403,0.8139,0.8337,0.8561,0.9181,0.8660
404,0.8119,0.8317,0.8540,0.9158,0.8639
405,0.8099,0.8296,0.8519,0.9160,0.8617
406,0.8079,0.8276,0.8498,0.9163,0.8621
407,0.8059,0.8256,0.8501,0.9165,0.8624
408,0.8039,0.8235,0.8480,0.9167,0.8627
409,0.8020,0.8215,0.8484,0.9169,0.8631
410,0.8000,0.8220,0.8488,0.9171,0.8634
411,0.7981,0.8224,0.8491,0.9173,0.8637
412,0.7961,0.8228,0.8495,0.9175,0.8641
413,0.7942,0.8232,0.8499,0.9177,0.8644
414,0.7923,0.8237,0.8502,0.9179,0.8647
415,0.7904,0.8241,0.8506,0.9181,0.8651
416,0.7909,0.8245,0.8510,0.9183,0.8654
417,0.7890,0.8249,0.8513,0.9185,0.8657
418,0.7895,0.8254,0.8493,0.9163,0.8636
419,0.7900,0.8258,0.8496,0.9165,0.8640
420,0.7905,0.8262,0.8500,0.9167,0.8643
421,0.7910,0.8266,0.8504,0.9169,0.8646
422,0.7915,0.8270,0.8507,0.9171,0.8649
423,0.7920,0.8274,0.8511,0.9173,0.8652
424,0.7925,0.8278,0.8514,0.9175,0.8656
425,0.7929,0.8282,0.8494,0.9176,0.8659
426,0.7934,0.8286,0.8474,0.9178,0.8662
427,0.7939,0.8290,0.8478,0.9180,0.8665
428,0.7944,0.8294,0.8481,0.9182,0.8668
429,0.7949,0.8298,0.8485,0.9184,0.8671
430,0.7953,0.8302,0.8488,0.9186,0.8674
431,0.7958,0.8306,0.8492,0.9188,0.8677
432,0.7963,0.8310,0.8495,0.9190,0.8681
433,0.7968,0.8291,0.8499,0.9192,0.8684
434,0.7972,0.8272,0.8502,0.9194,0.8664
